titulo;url;municipio;uf;categoria;latitude;longitude;localizacao_confirmada;data;qtd_municipio;qtd_categoria
Censo de População em Situação de Rua;https://censorua-pcrj.hub.arcgis.com/;Rio de Janeiro;RJ;Outros;-22.911948255422793;-43.194567309094786;True;2026-04-23 15:51:00.912070;216;785
Informe Técnico: Perfil da População em situação de rua no estado do Rio De Janeiro - Dezembro/2023 - ISBN: 978-65-86750-22-5;https://cnmp.mp.br/portal/informes/informe-tecnico-rio-de-janeiro.html;Rio de Janeiro;RJ;Outros;-22.89486856138827;-43.21604311415995;True;2026-04-23 15:51:14.359467;216;785
Censo de População em Situação de Rua 2022;https://www.data.rio/documents/64fc9f1756b64f05827a54de8c89a5ed;Rio de Janeiro;RJ;Outros;-22.89684769563846;-43.209026728769544;True;2026-04-23 15:51:16.817288;216;785
Boletim do MDHC destaca workshop do IBGE sobre experiências de censos da população em situação de rua;https://radiogov.ebc.com.br/programas/na-frequencia-dos-nossos-direitos/boletim-do-mdhc-destaca-workshop-do-ibge-sobre-experiencias-de-censos-da-populacao-em-situacao-de-rua;Rio de Janeiro;RJ;Outros;-22.92715494296342;-43.19382926092122;True;2026-04-23 15:51:22.188091;216;785
Resultados;https://censorua-pcrj.hub.arcgis.com/pages/resultados;Rio de Janeiro;RJ;Outros;-22.89250038088961;-43.210781748028666;True;2026-04-23 15:51:25.019165;216;785
DATA.RIO;https://www.data.rio/search?categories=população+em+situação+de+rua;Rio de Janeiro;RJ;Outros;-22.90904674134552;-43.18950825031546;True;2026-04-23 15:51:28.052695;216;785
Das 300 mil pessoas em situação de rua no Brasil, 45 mil ‘moram’ no RJ;https://diariodorio.com/das-300-mil-pessoas-em-situacao-de-rua-no-brasil-45-mil-moram-no-rio-de-janeiro/;Rio de Janeiro;RJ;Outros;-22.840382122910057;-42.33606222441173;True;2026-04-23 15:51:34.201622;216;785
CENSO DE POPULAÇÃO EM SITUAÇÃO DE RUA 2022;https://www.data.rio/datasets/072556c5be3344e1aaf973354b93d566;Rio de Janeiro;RJ;Outros;-22.907723345882136;-43.19703946065982;True;2026-04-23 15:51:36.888173;216;785
Sociodemographic profile of homeless people notified with tuberculosis in the municipality of Rio de Janeiro, Brazil, from 2015 to 2019;https://pmc.ncbi.nlm.nih.gov/articles/PMC10581682/;Rio de Janeiro;RJ;Outros;-22.901347301506608;-43.21399347290911;True;2026-04-23 15:51:39.440356;216;785
Censo identifica 7.865 pessoas em situação de rua na cidade do Rio;https://agenciabrasil.ebc.com.br/geral/noticia/2023-04/censo-identifica-7865-pessoas-em-situacao-de-rua-na-cidade-do-rio;Rio de Janeiro;RJ;Outros;-22.91882606435736;-43.21065167995533;True;2026-04-23 15:51:44.271760;216;785
Prefeitura do Rio divulga resultados do novo Censo de População de Rua 2022;https://prefeitura.rio/assistencia-social-direitos-humanos/prefeitura-do-rio-divulga-resultados-do-novo-censo-de-populacao-de-rua-2022/;São Paulo;SP;Outros;-23.542711649648176;-46.640407755620124;True;2026-04-23 15:51:49.246238;159;785
População em situação de rua aumentou durante a pandemia – Fiocruz Brasília;https://www.fiocruzbrasilia.fiocruz.br/populacao-em-situacao-de-rua-aumentou-durante-a-pandemia/;Rio de Janeiro;RJ;Outros;-22.930057787268343;-43.213000114233374;True;2026-04-23 15:51:52.507463;216;785
Observatório Brasileiro de Políticas Públicas;https://obpoprua.direito.ufmg.br/;Rio de Janeiro;RJ;Outros;-22.894305678316766;-43.20153165248394;True;2026-04-23 15:51:54.930088;216;785
Aumenta em 25% o número de pessoas em situação de rua no país;https://agenciabrasil.ebc.com.br/direitos-humanos/noticia/2025-01/aumenta-em-25-o-numero-de-pessoas-em-situacao-de-rua-no-pais;Rio de Janeiro;RJ;Outros;-22.920938662596182;-43.22601453792148;True;2026-04-23 15:51:58.533975;216;785
População de rua terá censo e novo programa de moradia;https://revistapesquisa.fapesp.br/populacao-de-rua-tera-censo-e-novo-programa-de-moradia/;Rio de Janeiro;RJ;Outros;-22.902875258918787;-43.212620829340565;True;2026-04-23 15:52:01.370748;216;785
335 mil pessoas estão em situação de rua no Brasil, aponta UFMG;https://g1.globo.com/mg/minas-gerais/noticia/2025/04/14/brasil-mais-de-335-mil-pessoas-em-situacao-de-rua-levantamento.ghtml;Rio de Janeiro;RJ;Outros;-22.82310422648508;-42.36182662118115;True;2026-04-23 15:52:04.531101;216;785
INSS integra ação social voltada à população em situação de rua no Rio de Janeiro;https://www.gov.br/inss/pt-br/assuntos/inss-integra-acao-social-voltada-a-populacao-em-situacao-de-rua-no-rio-de-janeiro;Rio de Janeiro;RJ;Outros;-22.843349965310434;-42.32893924432498;True;2026-04-23 15:52:10.523599;216;785
Censo: População de rua cresce no Rio chega a 8,2 mil;https://g1.globo.com/rj/rio-de-janeiro/noticia/2026/01/14/novo-censo-de-pessoas-em-situacao-de-rua-no-rio.ghtml;Rio de Janeiro;RJ;Outros;-22.914084047346872;-43.208797895331365;True;2026-04-23 15:52:13.840931;216;785
Mortalidade de pessoas em situação de rua é 348% maior do que da população geral, diz pesquisa – Fiocruz Brasília;https://www.fiocruzbrasilia.fiocruz.br/mortalidade-de-pessoas-em-situacao-de-rua-e-348-maior-do-que-da-populacao-geral-diz-pesquisa/;Rio de Janeiro;RJ;Morte;-22.851257472952952;-42.36617946014842;True;2026-04-23 15:52:16.198744;216;754
Censo aponta aumento da população em situação de rua no Rio de Janeiro;https://www.anf.org.br/censo-aponta-aumento-da-populacao-em-situacao-de-rua-no-rio-de-janeiro/;Rio de Janeiro;RJ;Outros;-22.84724525035822;-42.3635494903681;True;2026-04-23 15:52:18.997831;216;785
Mapeamento da População em Situação de Rua na cidade do Rio de Janeiro;https://www.academia.edu/44837829/Mapeamento_da_População_em_Situação_de_Rua_na_cidade_do_Rio_de_Janeiro;Rio de Janeiro;RJ;Outros;-22.89380312920191;-43.217551561277205;True;2026-04-23 15:52:21.047423;216;785
População em situação de rua;https://educacao.uol.com.br/colunas/lucila-cano/2013/07/19/populacao-em-situacao-de-rua.htm;Rio de Janeiro;RJ;Morte;-22.894141960417468;-43.20508418302712;True;2026-04-23 15:52:24.219955;216;754
Defensoria Pública na defesa das pessoas em situação de rua;https://cj.estrategia.com/portal/defensoria-publica-defesa-pessoas-situacao-rua/;Rio de Janeiro;RJ;Outros;-22.903913775765506;-43.22226206245886;True;2026-04-23 15:52:27.381482;216;785
PESSOAS EM SITUAÇÃO DE RUA E PESSOAS EM ERRÂNCIA: Estudo comparativo entre o Projeto de Lei 5740/2016, a Agenda 2030 e a Carta Brasileira para Cidades Inteligentes;https://www.indexlaw.org/index.php/revistadspp/article/view/10465;Rio de Janeiro;RJ;Outros;-22.928632110946296;-43.201388688459076;True;2026-04-23 15:52:45.255408;216;785
;https://bvsms.saude.gov.br/bvs/publicacoes/saude_populacao_situacao_rua.pdf;Rio de Janeiro;RJ;Outros;-22.918306394093147;-43.19283822455516;True;2026-04-23 15:52:50.363015;216;785
Estudo da prefeitura diz que Rio tem 4.628 pessoas em situação de rua, 67,6% a menos que em 2016;https://oglobo.globo.com/rio/estudo-da-prefeitura-diz-que-rio-tem-4628-pessoas-em-situacao-de-rua-676-menos-que-em-2016-22533647;Rio de Janeiro;RJ;Outros;-22.89761687872703;-43.157931610453524;True;2026-04-23 15:52:53.470343;216;785
Justiça Determina Ações Urgentes para População em Situação de Rua no RJ;https://agazetadorio.com.br/justica-populacao-situacao-rua-rio-janeiro/;Rio de Janeiro;RJ;Outros;-22.852901159806088;-42.34267999540148;True;2026-04-23 15:52:56.957280;216;785
MPF aponta omissão do município do Rio de Janeiro em políticas para população em situação de rua;https://veja.abril.com.br/politica/mpf-aponta-omissao-do-municipio-do-rio-de-janeiro-em-politicas-para-populacao-em-situacao-de-rua/;Rio de Janeiro;RJ;Outros;-22.9019709151583;-43.220923268529475;True;2026-04-23 15:53:01.298802;216;785
