titulo;url;municipio;uf;categoria;latitude;longitude;tipo_localizacao;localizacao_confirmada;qtd_municipio;qtd_categoria;data
Homem em situação de rua é morto em Águas Claras (DF) após atacar policial;https://noticias.r7.com/brasilia/df-no-ar/video/homem-em-situacao-de-rua-e-morto-em-aguas-claras-df-apos-atacar-policial-24032026/;Não Identificado;NI;Morte;-14.24410019656781;-51.910183650510895;municipio;True;75;199;2026-03-24 14:15:05+00:00
Moradores protestam após homem ser morto em operação policial no RS;https://g1.globo.com/rs/rio-grande-do-sul/noticia/2026/04/15/moradores-protestam-apos-homem-ser-morto-durante-operacao-policial-em-porto-alegre-mulher-com-filho-tambem-foi-atingida.ghtml;Porto;22;Morte;-3.880031705386745;-42.71866712383964;municipio;True;4;199;2026-04-15 00:00:00
"Vídeo mostra morador de rua rendido antes de ser morto por PMs; veja";https://www.terra.com.br/noticias/brasil/policia/video-mostra-morador-de-rua-rendido-antes-de-ser-morto-por-pms-veja,79ad9ce9c80531877dcb52230f91b686s2b41edn.html;Central;29;Morte;-11.131284779890407;-42.11883652762847;municipio;True;23;199;2025-08-05 22:37:47
"Homem é preso suspeito de torturar e matar morador de rua no Zumbi; vítima foi achada amarrada - Policial";https://www.portaldoholanda.com.br/policial/homem-e-preso-suspeito-de-torturar-e-matar-morador-de-rua-no-zumbi-vitima-foi-achada-amarrada;Não Identificado;NI;Outros;-14.220328713080402;-51.930985216978314;municipio;True;75;93;2026-04-16 14:58:33+00:00
Esquartejamento de morador de rua teve sequência brutal, frieza e motivação nebulosa;https://www.correiobraziliense.com.br/cidades-df/2025/04/7103165-esquartejamento-de-morador-de-rua-teve-sequencia-brutal-frieza-e-motivacao-nebulosa.html;Custódia;26;Morte;-8.07086795491259;-37.642856053729126;municipio;True;5;199;2025-04-07 00:00:00
Vídeo mostra PMs fuzilando morador de rua rendido;https://www.correio24horas.com.br/brasil/video-mostra-pms-fuzilando-morador-de-rua-rendido-0825;Natal;24;Morte;-5.787986598100426;-35.19571080277606;municipio;True;3;199;2026-04-16 13:53:01.027494
Crimes contra moradores de rua;https://acervo.oglobo.globo.com/incoming/crimes-contra-moradores-de-rua-22077230;Não Identificado;NI;Outros;-14.243113991271423;-51.90591929164659;municipio;True;75;93;2026-04-16 13:53:01.745454
'Era invisível': últimos momentos do morador de rua morto em padaria do RJ;https://noticias.uol.com.br/cotidiano/ultimas-noticias/2020/12/01/era-invisivel-morador-de-rua-pediu-socorro-antes-de-morrer-em-padaria.htm;Angélica;50;Morte;-22.165376053684774;-53.7593995779674;municipio;True;1;199;2020-12-01 00:00:00
Morador de rua foi achado morto após noite fria em SP;https://jornalcontabil.ig.com.br/noticia/morador-de-rua-foi-achado-morto-apos-noite-fria-em-sp/;Paulista;26;Morte;-7.914380590337815;-34.8641585883946;municipio;True;4;199;2023-05-31 09:23:00+00:00
Morador de rua morto em Águas Claras tinha histórico de agressões;https://www.metropoles.com/distrito-federal/na-mira/morador-de-rua-morto-em-aguas-claras-tinha-historico-de-agressoes;Barra;29;Morte;-11.086685917452513;-43.13242806781125;municipio;True;5;199;2026-04-16 13:53:07.791224
Morador de rua morto por sargento do Exército era “encrenqueiro”, dizem moradores;https://www.campograndenews.com.br/cidades/capital/morador-de-rua-morto-por-sargento-era-encrenqueiro-dizem-moradores;Amambai;50;Morte;-23.108664519362453;-55.21317022916671;municipio;True;1;199;2026-04-16 13:53:08.794091
Polícia identifica morador de rua morto à facada e procura autor;https://idest.com.br/policial/policia-identifica-morador-de-rua-morto-a-facada-e-procura-autor;Central;29;Morte;-11.154849783972715;-42.110776872576295;municipio;True;23;199;2022-12-02 14:14:49
